dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
wine_quality,wine_quality_slice_05_n2000,logreg,46,400,0.71,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,42,400,0.75,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,43,400,0.72,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,44,400,0.7075,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,45,400,0.75,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,mlp,46,400,0.695,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,42,400,0.76,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,43,400,0.7425,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,44,400,0.72,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,45,400,0.7625,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
wine_quality,wine_quality_slice_05_n2000,xgboost,46,400,0.7325,,,,,,,0.8354036797939659,0.3940246115286305,,,,ML
