dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
german_credit,german_credit_slice_04_n800,logreg,42,160,0.76875,0.6326530612244898,sex,female,0.32258064516129037,0.2222222222222222,0.3673469387755102,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,logreg,43,160,0.7875,0.6774193548387096,age_bin,<=25,0.3548387096774194,0.3488943488943489,0.3225806451612903,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,logreg,44,160,0.73125,0.6470588235294118,age_bin,<=25,0.30434782608695654,0.75,0.15294117647058825,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,logreg,45,160,0.7625,0.5,age_bin,65+,0.4285714285714286,0.7272727272727273,0.2962962962962963,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,logreg,46,160,0.775,0.7142857142857143,sex,female,0.08791208791208782,0.5,0.1357142857142857,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,mlp,42,160,0.75625,0.6530612244897959,sex,female,0.15533980582524276,0.20197044334975367,0.3469387755102041,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,mlp,43,160,0.725,0.6774193548387096,age_bin,<=25,0.16129032258064513,0.20147420147420148,0.3225806451612903,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,mlp,44,160,0.775,0.6470588235294118,age_bin,<=25,0.12352941176470589,0.5294117647058824,0.35294117647058826,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,mlp,45,160,0.8,0.75,age_bin,<=25,0.40476190476190477,0.6666666666666666,0.25,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,mlp,46,160,0.76875,0.673469387755102,sex,female,0.1923076923076923,0.5,0.18367346938775508,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,xgboost,42,160,0.85625,0.7096774193548387,age_bin,<=25,0.29032258064516125,0.31216931216931215,0.2903225806451613,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
german_credit,german_credit_slice_04_n800,xgboost,43,160,0.81875,0.6774193548387096,age_bin,<=25,0.29032258064516125,0.19999999999999996,0.3225806451612903,0.7536903301692303,0.532716652277866,0.4552142857142857,0.1975,,ML
