dataset,slice,model_family,seed,n_test,accuracy,worst_subgroup_accuracy,worst_subgroup_attr,worst_subgroup_group,dpd_worst,eod_worst,worst_subgroup_error_gap,Q,S,R,demographic_representation_gap,harm_content_density,application
diabetes_130,diabetes_130_other_n4942,xgboost,45,989,0.8685540950455005,0.76,race,Hispanic,0.008658008658008658,0.047619047619047616,0.24,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_other_n4942,xgboost,46,989,0.8604651162790697,0.8,race,Other,0.019612451041022466,0.04717948717948718,0.2,0.7253291012357298,0.43234501374125606,0.2566237725182252,0.09978552925779265,,ML
diabetes_130,diabetes_130_snf_facility_n15000,logreg,42,3000,0.8366666666666667,0.6666666666666666,race,Asian,0.0005595970900951316,0.0006640106241699867,0.18465227817745802,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,logreg,43,3000,0.8366666666666667,0.625,race,Hispanic,0.000846740050804403,0.0010152284263959391,0.29605263157894735,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,logreg,44,3000,0.837,0.625,race,Asian,0.000836470096194061,0.0045045045045045045,0.2819767441860465,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,logreg,45,3000,0.8363333333333334,0.6486486486486487,race,Hispanic,0.0016673614005835765,0.004761904761904762,0.21801801801801804,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,logreg,46,3000,0.8363333333333334,0.6896551724137931,race,Hispanic,0.034482758620689655,0.047619047619047616,0.2515212981744422,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,mlp,42,3000,0.837,0.6666666666666666,race,Asian,0.0,0.0,0.18465227817745802,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,mlp,43,3000,0.8373333333333334,0.625,race,Hispanic,0.004233700254022015,0.015306122448979591,0.29605263157894735,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,mlp,44,3000,0.837,0.625,race,Asian,0.0,0.0,0.2819767441860465,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,mlp,45,3000,0.837,0.6486486486486487,race,Hispanic,0.0,0.0,0.21801801801801804,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,mlp,46,3000,0.837,0.7241379310344828,race,Hispanic,0.0,0.0,0.21703853955375252,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,xgboost,42,3000,0.838,0.6666666666666666,race,Asian,0.043478260869565216,0.1,0.1870503597122302,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,xgboost,43,3000,0.8373333333333334,0.65625,race,Hispanic,0.05555555555555555,0.16666666666666666,0.26480263157894735,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,xgboost,44,3000,0.838,0.625,race,Asian,0.02702702702702703,0.1111111111111111,0.2819767441860465,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,xgboost,45,3000,0.8363333333333334,0.6756756756756757,race,Hispanic,0.06666666666666667,0.07692307692307693,0.17455473907086813,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
diabetes_130,diabetes_130_snf_facility_n15000,xgboost,46,3000,0.8383333333333334,0.7241379310344828,race,Hispanic,0.006787330316742082,0.02617801047120419,0.21703853955375252,0.7358843874190039,0.4323450136999753,0.2648379572315943,0.14085645282463805,,ML
